Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(2),Glitch(1),Glitch(2)",2,68,2.941,"bne: 4,b: 2,str: 2,cmp: 2,ldr: 2"
"Glitch(1),Glitch(2),Glitch(1),Glitch(5)",2,94,2.128,"cmp: 4,bne: 4,asrs: 2,lsrs: 2,push: 2,str: 2,b: 2"
"Glitch(1),Glitch(2),Glitch(2),Glitch(8)",4,206,1.942,"bne: 8,cmp: 8,ldr: 5,push: 4,asrs: 4,add: 4,lsrs: 4,b: 4,str: 4,pop: 3,mov: 3,movs: 1"
"Glitch(1),Glitch(2),Glitch(3),Glitch(5)",2,65,3.077,"cmp: 4,bne: 4,lsrs: 2,b: 2,ldr: 2,asrs: 2,str: 2,eors: 2,push: 1,movs: 1"
"Glitch(1),Glitch(2),Glitch(7),Glitch(8)",1,46,2.174,"ldr: 3,cmp: 2,bne: 2,add: 2,pop: 1,stm.w: 1,lsrs: 1,asrs: 1,str: 1,mov: 1,b: 1,push: 1,eors: 1"
"Glitch(1),Glitch(2),Glitch(9),Glitch(3)",2,116,1.724,"ldr: 6,bl: 4,cmp: 4,bne: 4,b: 2,str: 2,add: 2,mov: 2,eors: 2,asrs: 2"
"Glitch(1),Glitch(3),Glitch(1),Glitch(2)",3,27,11.111,"cmp: 6,bne: 6,ldr: 3,str: 2,b: 2,beq: 1,bl: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(2)",4,205,1.951,"cmp: 10,bne: 8,b: 4,str: 4,bl: 4,add: 2,eors: 2,ldr: 2"
"Glitch(1),Glitch(3),Glitch(5),Glitch(7)",12,114,10.526,"ldr: 39,cmp: 25,bne: 24,add: 20,b: 11,asrs: 11,str: 11,lsrs: 10,push: 9,eors: 9,bl: 9,mov: 8,movs: 3,stm.w: 1,ldm.w: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(9)",1,89,1.124,"cmp: 3,add: 2,bne: 2,ldr: 2,push: 1,str: 1,asrs: 1,pop: 1,b: 1,bl: 1,lsrs: 1,mov: 1,bx: 1"
"Glitch(1),Glitch(3),Glitch(8),Glitch(8)",5,104,4.808,"cmp: 15,bne: 10,bl: 10,add: 10,ldr: 10,mov: 7,lsrs: 5,asrs: 5,str: 5,eors: 5,b: 5,push: 5,pop: 4,stm.w: 3,movs: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(4)",4,102,3.922,"ldr: 16,cmp: 12,bne: 8,add: 5,mov: 4,eors: 4,bl: 4,b: 4,str: 4,stm.w: 4,asrs: 3,movs: 2,lsrs: 2"
"Glitch(1),Glitch(4),Glitch(2),Glitch(3)",2,80,2.500,"cmp: 6,bne: 4,ldr: 2,bl: 2,add.w: 1,stm.w: 1,asrs: 1,str: 1,b: 1,ldm.w: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(7)",3,86,3.488,"ldr: 7,cmp: 6,bne: 6,bl: 3,str: 3,push: 3,asrs: 3,b: 3,add: 3,lsrs: 2,mov: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(10)",7,142,4.930,"cmp: 25,ldr: 19,bne: 14,add: 13,eors: 7,push: 7,b: 6,str: 6,asrs: 6,lsrs: 6,stm.w: 5,mov: 5,bx: 4,pop: 4,bl: 4,nop: 3,movs: 3,beq: 1,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(10)",4,57,7.018,"ldr: 16,cmp: 8,bne: 8,add: 4,mov: 4,bl: 4,stm.w: 4,lsrs: 4,b: 4,eors: 4,push: 4,asrs: 4,bx: 4,str: 4,pop: 4,nop: 3,movs: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(4)",2,50,4.000,"cmp: 8,bne: 4,ldr: 4,str: 2,asrs: 2,b: 2,bl: 2,add: 2,stm.w: 2,lsrs: 2,eors: 2"
"Glitch(1),Glitch(4),Glitch(7),Glitch(8)",3,43,6.977,"cmp: 9,ldr: 7,bne: 6,add: 6,beq: 3,eors: 3,b: 3,bl: 3,lsrs: 3,str: 3,push: 3,stm.w: 3,asrs: 3,mov: 2,pop: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(10),Glitch(6)",2,26,7.692,"ldr: 8,cmp: 6,bne: 4,bl: 4,add: 4,mov: 2,asrs: 2,lsrs: 2,push: 2,str: 2,beq: 2,b: 2,eors: 2"
"Glitch(1),Glitch(4),Glitch(10),Glitch(9)",4,81,4.938,"ldr: 16,cmp: 10,mov: 8,add: 8,bl: 8,bne: 8,eors: 4,pop: 4,b: 4,stm.w: 4,bx: 4,asrs: 4,str: 4,lsrs: 4,push: 4,beq: 2"
