Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(6),Glitch(7)",1,116,0.862,"bne: 2,cmp: 2,ldr: 2,add: 1,stm.w: 1,str: 1,push: 1,asrs: 1,eors: 1,mov: 1,b: 1,lsrs: 1"
"Glitch(1),Glitch(1),Glitch(8),Glitch(5)",3,37,8.108,"ldr: 10,bne: 6,add: 5,eors: 3,cmp: 3,str: 3,stm.w: 3,b: 3,bl: 3,movs: 2,asrs: 2,lsrs: 1,push: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(9)",2,62,3.226,"bne: 4,ldr: 4,push: 2,str: 2,add: 2,b: 2,bx: 2,pop: 2,asrs: 2,lsrs: 2,mov: 2,bl: 2"
"Glitch(1),Glitch(2),Glitch(4),Glitch(8)",3,46,6.522,"bne: 6,cmp: 6,add: 6,ldr: 4,bl: 3,str: 3,lsrs: 3,asrs: 3,b: 3,push: 3,pop: 2,mov: 2,movs: 1"
"Glitch(1),Glitch(2),Glitch(4),Glitch(9)",2,143,1.399,"cmp: 4,bne: 4,add: 4,pop: 2,ldr: 2,bl: 2,lsrs: 2,b: 2,asrs: 2,str: 2,mov: 2,bx: 2,push: 2"
"Glitch(1),Glitch(2),Glitch(9),Glitch(4)",1,25,4.000,"ldr: 4,bl: 2,bne: 2,cmp: 1,asrs: 1,mov: 1,add: 1,str: 1,b: 1,movs: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(1),Glitch(2)",1,27,3.704,"cmp: 2,bne: 2,ldr: 1,b: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(1),Glitch(4)",3,85,3.529,"cmp: 7,bne: 6,bl: 4,b: 2,str: 2,asrs: 1,beq: 1,lsrs: 1,movs: 1,add: 1,ldr: 1"
"Glitch(1),Glitch(3),Glitch(1),Glitch(10)",2,75,2.667,"cmp: 4,bne: 4,bx: 2,asrs: 2,mov: 2,push: 2,bl: 2,b: 2,str: 2,lsrs: 2,add: 2,pop: 2,nop: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(3)",4,77,5.195,"cmp: 9,bne: 8,bl: 5,ldr: 4,asrs: 2,b: 2,str: 2,ldm.w: 1,stm.w: 1,add.w: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(10)",1,90,1.111,"ldr: 3,bne: 2,add: 2,b: 1,lsrs: 1,cmp: 1,push: 1,str: 1,mov: 1,bl: 1,asrs: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(5)",3,115,2.609,"bne: 6,cmp: 6,ldr: 4,add: 4,str: 3,bl: 3,b: 3,push: 2,asrs: 2,lsrs: 2,movs: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(10)",1,141,0.709,"ldr: 3,cmp: 2,push: 2,add: 2,bne: 2,lsrs: 1,eors: 1,bl: 1,asrs: 1,stm.w: 1,movs: 1,b: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(2)",1,64,1.562,"ldr: 3,cmp: 2,bne: 2,bl: 1,str: 1,stm.w: 1,b: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(7)",1,58,1.724,"cmp: 3,ldr: 2,add: 2,bne: 2,lsrs: 1,str: 1,mov: 1,push: 1,asrs: 1,b: 1,eors: 1,bl: 1"
"Glitch(1),Glitch(3),Glitch(7),Glitch(4)",1,63,1.587,"ldr: 5,cmp: 3,bl: 2,bne: 2,beq: 1,add: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(7),Glitch(9)",4,73,5.479,"ldr: 15,cmp: 9,add: 8,bne: 8,bl: 5,stm.w: 5,push: 4,eors: 4,asrs: 3,str: 3,b: 3,lsrs: 3,mov: 2,pop: 2,movs: 2,beq: 1,bx: 1,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(4)",4,105,3.810,"cmp: 14,ldr: 14,bl: 10,bne: 8,add: 5,mov: 4,b: 2,str: 2,beq: 2,eors: 2,stm: 2,movs: 1,lsrs: 1,asrs: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(7)",2,65,3.077,"ldr: 8,cmp: 6,add: 4,bne: 4,mov: 4,lsrs: 2,asrs: 2,bl: 2,eors: 2,b: 2,str: 2,push: 2"
