Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(5),Glitch(1)",1,24,4.167,"cmp: 2,bne: 2,bl: 2,ldr: 1,add: 1"
"Glitch(1),Glitch(1),Glitch(6),Glitch(3)",1,63,1.587,"ldr: 2,cmp: 2,bne: 2,str: 1,movs: 1,b: 1,add: 1,eors: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(3)",4,79,5.063,"ldr: 8,bne: 8,cmp: 4,b: 4,str: 4,asrs: 3,movs: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(7)",9,226,3.982,"ldr: 25,cmp: 18,bne: 18,add: 13,str: 9,asrs: 9,b: 9,push: 8,lsrs: 8,mov: 5,eors: 5,bl: 4,movs: 4"
"Glitch(1),Glitch(2),Glitch(10),Glitch(3)",2,65,3.077,"ldr: 6,cmp: 6,bne: 4,add: 2,asrs: 2,stm.w: 2,eors: 2,bl: 2,mov: 2,str: 2,b: 2"
"Glitch(1),Glitch(3),Glitch(1),Glitch(10)",2,36,5.556,"cmp: 4,bne: 4,ldr: 3,add: 3,str: 2,b: 2,lsrs: 2,asrs: 2,mov: 2,push: 2,nop: 1,bx: 1,pop: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(7)",1,58,1.724,"cmp: 3,bne: 2,push: 1,bl: 1,str: 1,b: 1,asrs: 1,lsrs: 1,add: 1,mov: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(9)",3,90,3.333,"cmp: 10,bne: 6,bl: 4,eors: 3,add: 3,ldr: 2,pop: 2,lsrs: 2,str: 2,b: 2,mov: 2,asrs: 2,bx: 2,push: 2,stm.w: 1,ldm.w: 1,add.w: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(4)",3,105,2.857,"cmp: 9,ldr: 6,bne: 6,str: 3,b: 3,eors: 2,lsrs: 2,add: 2,asrs: 2,movs: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(10)",4,126,3.175,"cmp: 12,add: 10,ldr: 9,bne: 8,b: 4,lsrs: 4,mov: 4,str: 4,push: 4,asrs: 4,pop: 3,nop: 2,movs: 2,bx: 2"
"Glitch(1),Glitch(3),Glitch(5),Glitch(5)",1,177,0.565,"cmp: 3,bl: 2,bne: 2,push: 1,asrs: 1,b: 1,ldr: 1,add: 1,lsrs: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(7)",4,55,7.273,"ldr: 13,cmp: 8,bne: 8,add: 7,asrs: 4,b: 4,push: 4,str: 4,lsrs: 3,bl: 3,mov: 2,movs: 2,eors: 1,stm.w: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(10)",4,64,6.250,"ldr: 8,bne: 8,cmp: 8,add: 5,stm.w: 4,eors: 4,pop: 4,asrs: 4,mov: 4,str: 4,bl: 4,push: 4,lsrs: 4,b: 4,nop: 3,bx: 3,movs: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(4)",2,55,3.636,"cmp: 6,ldr: 4,bne: 4,asrs: 2,b: 2,eors: 2,add: 2,bl: 2,lsrs: 2,str: 2"
"Glitch(1),Glitch(3),Glitch(9),Glitch(5)",3,87,3.448,"ldr: 12,bne: 6,cmp: 6,add: 4,asrs: 3,stm.w: 3,bl: 3,mov: 3,eors: 3,b: 3,str: 3,movs: 2,lsrs: 2,push: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(3)",1,145,0.690,"ldr: 6,bne: 2,cmp: 2,str: 1,eors: 1,add: 1,asrs: 1,bl: 1,mov: 1,b: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(4)",2,82,2.439,"ldr: 8,cmp: 4,bl: 4,bne: 4,mov: 2,eors: 2,add: 2,str: 2,asrs: 2,lsrs: 2,stm.w: 2,b: 2"
"Glitch(1),Glitch(4),Glitch(2),Glitch(4)",1,88,1.136,"cmp: 3,bne: 2,ldr: 1,lsrs: 1,stm.w: 1,str: 1,b: 1,asrs: 1"
