Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(2),Glitch(3)",1,51,1.961,"bne: 2,ldr: 2,asrs: 1,str: 1,b: 1"
"Glitch(1),Glitch(1),Glitch(3),Glitch(5)",4,95,4.211,"ldr: 9,bne: 8,add: 4,b: 3,str: 3,asrs: 3,lsrs: 3,push: 2,stm.w: 1,movs: 1,beq: 1,cmp: 1,bl: 1"
"Glitch(1),Glitch(1),Glitch(4),Glitch(9)",1,179,0.559,"ldr: 4,add: 2,cmp: 2,bne: 2,bl: 1,beq: 1,stm.w: 1,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(2),Glitch(3),Glitch(7)",1,162,0.617,"bne: 2,ldr: 2,asrs: 1,push: 1,str: 1,lsrs: 1,cmp: 1,add: 1,mov: 1,bl: 1,b: 1"
"Glitch(1),Glitch(2),Glitch(4),Glitch(5)",2,167,1.198,"cmp: 7,bne: 4,ldr: 3,add: 2,lsrs: 1,push: 1,asrs: 1,str: 1,bl: 1,stm.w: 1,b: 1,beq: 1"
"Glitch(1),Glitch(2),Glitch(4),Glitch(8)",1,98,1.020,"bne: 2,add: 2,cmp: 2,ldr: 2,pop: 1,mov: 1,lsrs: 1,str: 1,push: 1,asrs: 1,b: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(5)",2,102,1.961,"bl: 5,cmp: 5,bne: 4,ldr: 3,add: 2,beq: 1,b: 1,push: 1,asrs: 1,str: 1,lsrs: 1,stm.w: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(2)",1,55,1.818,"cmp: 3,ldr: 2,bne: 2,add: 1,eors: 1,str: 1,b: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(3)",1,42,2.381,"ldr: 4,bne: 2,movs: 1,add: 1,bl: 1,mov: 1,b: 1,stm: 1,str: 1,cmp: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(7)",4,100,4.000,"ldr: 13,cmp: 9,bne: 8,add: 8,bl: 5,stm.w: 5,eors: 4,asrs: 3,mov: 3,push: 3,lsrs: 3,str: 3,b: 3,beq: 1,ldm.w: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(8)",2,104,1.923,"cmp: 6,bne: 4,ldr: 3,add: 2,lsrs: 2,asrs: 2,bl: 2,str: 2,push: 2,b: 2,eors: 2,movs: 1,mov: 1,pop: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(7)",1,64,1.562,"ldr: 4,cmp: 3,bne: 2,bl: 2,stm.w: 2,beq: 1,eors: 1,add: 1,ldm.w: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(9)",1,124,0.806,"ldr: 6,cmp: 2,bne: 2,add: 2,push: 2,movs: 1,stm: 1,bl: 1,lsrs: 1,str: 1,mov: 1,b: 1,asrs: 1,eors: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(8)",2,113,1.770,"ldr: 6,bne: 4,add: 4,stm.w: 2,mov: 2,str: 2,b: 2,lsrs: 2,cmp: 2,push: 2,asrs: 2,movs: 1,pop: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(8)",1,103,0.971,"cmp: 3,bne: 2,add: 2,ldr: 1,eors: 1,beq: 1,movs: 1,asrs: 1,push: 1,b: 1,str: 1,lsrs: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(4)",1,50,2.000,"cmp: 3,bl: 2,bne: 2,ldr: 2,mov: 1,add: 1,eors: 1,asrs: 1,b: 1,beq: 1,lsrs: 1,str: 1"
"Glitch(1),Glitch(5),Glitch(2),Glitch(10)",4,137,2.920,"ldr: 15,bne: 8,stm.w: 5,cmp: 5,ldm.w: 5,add: 4,str: 3,bx: 3,pop: 3,asrs: 3,b: 3,lsrs: 3,push: 3,mov: 3,nop: 2,beq: 1,movs: 1,bl: 1,add.w: 1"
"Glitch(1),Glitch(5),Glitch(4),Glitch(2)",3,83,3.614,"ldr: 9,cmp: 6,bne: 6,stm.w: 3,ldm.w: 3,eors: 2,str: 2,b: 2,bl: 1,add: 1,beq: 1"
"Glitch(1),Glitch(5),Glitch(4),Glitch(8)",5,145,3.448,"ldr: 23,stm.w: 6,cmp: 6,ldm.w: 6,bne: 5,add.w: 5,add: 5,eors: 5,lsrs: 4,b: 4,push: 4,asrs: 4,str: 4,mov: 3,movs: 2,pop: 2,bl: 1,beq: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(4)",6,149,4.027,"cmp: 26,ldr: 17,bne: 12,bl: 8,eors: 6,b: 4,add: 4,str: 4,asrs: 3,lsrs: 2,movs: 2,beq: 2"
"Glitch(1),Glitch(5),Glitch(5),Glitch(8)",1,222,0.450,"ldr: 5,cmp: 3,bne: 2,stm.w: 2,bl: 2,add: 2,beq: 1,eors: 1,ldm.w: 1"
"Glitch(1),Glitch(5),Glitch(6),Glitch(9)",7,101,6.931,"cmp: 27,ldr: 25,bne: 14,stm.w: 10,add: 9,eors: 7,bl: 6,mov: 5,asrs: 5,b: 5,push: 5,lsrs: 5,bx: 5,str: 5,ldm.w: 5,pop: 5,add.w: 2,beq: 2"
"Glitch(1),Glitch(5),Glitch(7),Glitch(5)",1,126,0.794,"cmp: 5,bl: 3,ldr: 3,beq: 2,bne: 2,stm.w: 1,add: 1,eors: 1"
"Glitch(1),Glitch(5),Glitch(8),Glitch(8)",2,80,2.500,"ldr: 10,add: 5,cmp: 5,stm.w: 5,bne: 4,ldm.w: 3,bl: 3,eors: 2,lsrs: 1,push: 1,asrs: 1,str: 1,beq: 1,b: 1,movs: 1"
"Glitch(1),Glitch(5),Glitch(9),Glitch(7)",2,151,1.325,"ldr: 9,cmp: 8,bl: 4,bne: 4,add: 4,mov: 2,str: 2,eors: 2,asrs: 2,b: 2,push: 2,movs: 2,lsrs: 1"
"Glitch(1),Glitch(5),Glitch(9),Glitch(8)",2,75,2.667,"ldr: 10,cmp: 6,add: 4,bne: 4,bl: 4,mov: 4,lsrs: 2,asrs: 2,push: 2,pop: 2,str: 2,stm: 2,b: 2"
"Glitch(1),Glitch(5),Glitch(9),Glitch(9)",2,56,3.571,"ldr: 9,cmp: 6,add: 5,bl: 4,bne: 4,mov: 3,eors: 2,push: 2,movs: 2,b: 2,lsrs: 2,asrs: 2,str: 2,beq: 2,pop: 1"
"Glitch(1),Glitch(6),Glitch(2),Glitch(6)",3,123,2.439,"ldr: 10,cmp: 7,bne: 6,stm.w: 4,ldm.w: 4,add: 2,lsrs: 2,push: 2,asrs: 2,b: 2,str: 2,beq: 1,bl: 1"
"Glitch(1),Glitch(6),Glitch(3),Glitch(2)",3,125,2.400,"cmp: 9,bne: 6,ldr: 6,bl: 3,str: 3,stm.w: 3,add: 3,b: 3"
"Glitch(1),Glitch(6),Glitch(5),Glitch(3)",3,117,2.564,"cmp: 10,ldr: 8,bne: 6,bl: 4,b: 3,add: 3,beq: 3,str: 3,asrs: 2,eors: 2,movs: 1"
"Glitch(1),Glitch(6),Glitch(6),Glitch(9)",1,69,1.449,"ldr: 4,cmp: 2,bne: 2,add: 2,bx: 1,pop: 1,stm.w: 1,bl: 1,eors: 1,mov: 1,asrs: 1,b: 1,push: 1,lsrs: 1,str: 1,ldm.w: 1"
