Instruction,Targeted,Relative
bne,6092,0.000164149704531
ldm.w,27146,0.000036837839829
cmp,54718,0.000036551043532
stm.w,28195,0.000035467281433
bl,39245,0.000025480952988
beq,42848,0.000023338312173
ldr,192581,0.000020770480992
mov.w,7950,0.000000000000000
strd,10970,0.000000000000000
eors,21476,0.000000000000000
add,72283,0.000000000000000
b.w,31,0.000000000000000
stm,7288,0.000000000000000
str,117067,0.000000000000000
bx,38345,0.000000000000000
sub,729,0.000000000000000
push,14993,0.000000000000000
cbz,28,0.000000000000000
pop,11380,0.000000000000000
nop,84,0.000000000000000
it,7965,0.000000000000000
movs,29860,0.000000000000000
subs,75,0.000000000000000
and,3953,0.000000000000000
mov,17076,0.000000000000000
add.w,33450,0.000000000000000
strb,7959,0.000000000000000
uxth,49,0.000000000000000
ldrb,7962,0.000000000000000
lsrs,4108,0.000000000000000
b,118028,0.000000000000000
asrs,42,0.000000000000000
