Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(1),Glitch(1)",1,74,1.351,"bne: 2,bl: 1,cmp: 1"
"Glitch(1),Glitch(1),Glitch(1),Glitch(2)",3,74,4.054,"bne: 6,cmp: 3,str: 2,b: 2,bl: 1,beq: 1"
"Glitch(1),Glitch(1),Glitch(1),Glitch(3)",3,74,4.054,"bne: 6,cmp: 4,asrs: 2,str: 2,b: 2,bl: 1,beq: 1"
"Glitch(1),Glitch(1),Glitch(1),Glitch(4)",3,74,4.054,"bne: 6,str: 3,b: 3,cmp: 3,asrs: 2,lsrs: 2,add: 1,movs: 1"
"Glitch(1),Glitch(1),Glitch(1),Glitch(5)",4,74,5.405,"bne: 8,cmp: 4,str: 4,b: 4,asrs: 3,push: 2,add: 2,lsrs: 2,movs: 2,ldr: 1"
"Glitch(1),Glitch(1),Glitch(1),Glitch(6)",5,74,6.757,"bne: 10,cmp: 5,add: 5,str: 5,b: 5,asrs: 4,lsrs: 3,movs: 3,push: 3,ldr: 2"
"Glitch(1),Glitch(1),Glitch(1),Glitch(7)",5,74,6.757,"bne: 10,str: 5,cmp: 5,asrs: 5,add: 5,b: 5,push: 4,lsrs: 4,movs: 3,mov: 2,ldr: 2"
"Glitch(1),Glitch(1),Glitch(1),Glitch(8)",5,74,6.757,"bne: 10,add: 6,lsrs: 5,b: 5,str: 5,asrs: 5,cmp: 5,push: 5,movs: 3,ldr: 2,pop: 2,mov: 2"
"Glitch(1),Glitch(1),Glitch(1),Glitch(9)",5,74,6.757,"bne: 10,add: 7,push: 6,cmp: 5,b: 5,str: 5,asrs: 5,lsrs: 5,mov: 3,movs: 3,pop: 2,bx: 2,ldr: 2"
"Glitch(1),Glitch(1),Glitch(1),Glitch(10)",5,74,6.757,"bne: 10,add: 8,push: 6,asrs: 5,lsrs: 5,str: 5,b: 5,cmp: 5,mov: 4,movs: 3,pop: 3,ldr: 2,nop: 2,bx: 2"
"Glitch(1),Glitch(1),Glitch(2),Glitch(1)",2,96,2.083,"bne: 4,cmp: 3,bl: 2,ldr: 1"
"Glitch(1),Glitch(1),Glitch(2),Glitch(2)",6,96,6.250,"bne: 12,cmp: 9,b: 4,str: 4,ldr: 3,beq: 2,bl: 2"
"Glitch(1),Glitch(1),Glitch(2),Glitch(3)",6,96,6.250,"bne: 12,cmp: 11,b: 4,asrs: 4,str: 4,ldr: 3,beq: 2,bl: 2"
"Glitch(1),Glitch(1),Glitch(2),Glitch(4)",6,96,6.250,"bne: 12,cmp: 9,str: 6,b: 6,asrs: 4,lsrs: 4,ldr: 3,movs: 2,add: 2"
"Glitch(1),Glitch(1),Glitch(2),Glitch(5)",7,96,7.292,"bne: 14,cmp: 11,str: 7,b: 7,asrs: 6,push: 4,lsrs: 4,ldr: 4,movs: 3,add: 3"
"Glitch(1),Glitch(1),Glitch(2),Glitch(6)",9,96,9.375,"bne: 18,cmp: 14,b: 9,add: 9,str: 9,ldr: 7,asrs: 7,push: 6,lsrs: 6,movs: 5"
"Glitch(1),Glitch(1),Glitch(2),Glitch(7)",9,96,9.375,"bne: 18,cmp: 14,asrs: 9,add: 9,b: 9,str: 9,push: 8,ldr: 7,lsrs: 7,movs: 5,mov: 4"
