Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(4),Glitch(7)",2,99,2.020,"ldr: 4,bne: 4,add: 3,push: 2,str: 2,mov: 2,b: 2,asrs: 2,lsrs: 2,bl: 1,eors: 1,cmp: 1"
"Glitch(1),Glitch(1),Glitch(6),Glitch(10)",2,52,3.846,"ldr: 6,bne: 4,add: 4,asrs: 2,lsrs: 2,nop: 2,b: 2,mov: 2,pop: 2,cmp: 2,str: 2,eors: 2,push: 2,bx: 2"
"Glitch(1),Glitch(1),Glitch(10),Glitch(9)",5,105,4.762,"ldr: 18,add: 10,cmp: 10,bne: 10,mov: 9,push: 6,eors: 5,lsrs: 5,str: 5,b: 5,bl: 5,asrs: 5,pop: 4,bx: 4,stm.w: 3,movs: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(6)",2,158,1.266,"cmp: 7,bne: 4,add: 3,ldr: 3,bl: 3,eors: 2,lsrs: 1,ldm.w: 1,stm.w: 1,push: 1,beq: 1,str: 1,b: 1,asrs: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(5)",1,100,1.000,"ldr: 4,cmp: 3,bne: 2,lsrs: 1,add: 1,eors: 1,push: 1,b: 1,bl: 1,asrs: 1,mov: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(6)",5,165,3.030,"bne: 10,cmp: 8,ldr: 8,bl: 5,str: 5,add: 5,b: 5,asrs: 5,lsrs: 4,push: 3,movs: 2"
"Glitch(1),Glitch(3),Glitch(10),Glitch(5)",1,104,0.962,"ldr: 5,bl: 2,cmp: 2,bne: 2,asrs: 1,add: 1,b: 1,eors: 1,lsrs: 1,mov: 1,push: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(10)",3,96,3.125,"cmp: 8,ldr: 7,bne: 6,add: 4,asrs: 3,b: 3,stm.w: 3,lsrs: 3,pop: 3,push: 3,mov: 3,str: 3,nop: 2,bx: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(8)",2,82,2.439,"ldr: 6,cmp: 4,add: 4,bne: 4,asrs: 2,push: 2,mov: 2,bl: 2,str: 2,lsrs: 2,b: 2,movs: 1,pop: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(7)",3,130,2.308,"ldr: 11,cmp: 9,add: 6,bne: 6,bl: 5,eors: 3,stm.w: 3,asrs: 2,lsrs: 2,str: 2,push: 2,mov: 2,b: 2,beq: 1,ldm.w: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(9)",2,80,2.500,"ldr: 9,add: 5,cmp: 4,stm.w: 4,bne: 4,lsrs: 2,push: 2,eors: 2,str: 2,b: 2,asrs: 2,pop: 1,mov: 1,bx: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(9),Glitch(4)",2,88,2.273,"cmp: 8,ldr: 6,bl: 4,bne: 4,mov: 2,eors: 2,str: 2,b: 2,lsrs: 2,asrs: 2,add: 2"
